global_id,source,source_card_no,type,term,pinyin,arabic,suggested_filename,integrated_path,stage8_source_image,stage8_status,audit_note_ar
M6-FC-53,mock6.html,53,flashcard,批评,pīpíng,ينتقد / يوبّخ,m6-fc-53-批评.webp,assets/card-images/m6-fc-53-批评.webp,a_moment_of_learning_and_guidance.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-WR-096,mock6.html,96,writing_image,座位,,مقعد,m6-wr-096-座位.webp,assets/card-images/m6-wr-096-座位.webp,highlighted_seat_in_a_peaceful_train_carriage.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-WR-097,mock6.html,97,writing_image,印象,,انطباع,m6-wr-097-印象.webp,assets/card-images/m6-wr-097-印象.webp,a_warm_first_meeting_moment.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M6-WR-099,mock6.html,99,writing_image,挂,,يُعلّق,m6-wr-099-挂.webp,assets/card-images/m6-wr-099-挂.webp,hanging_a_coat_in_a_sunlit_entryway.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-19,mock9.html,19,flashcard,排队,páiduì,يصطف,m9-fc-19-排队.webp,assets/card-images/m9-fc-19-排队.webp,calm_service_counter_scene_with_queue.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-28,mock9.html,28,flashcard,免费,miǎnfèi,مجاناً,m9-fc-28-免费.webp,assets/card-images/m9-fc-28-免费.webp,friendly_counter_exchange_with_free_sample.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-31,mock9.html,31,flashcard,公共汽车,gōnggòng qìchē,حافلة عامة,m9-fc-31-公共汽车.webp,assets/card-images/m9-fc-31-公共汽车.webp,urban_bus_stop_in_bright_cityscape.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-32,mock9.html,32,flashcard,搬家,bānjiā,ينقل البيت,m9-fc-32-搬家.webp,assets/card-images/m9-fc-32-搬家.webp,bright_moving_day_at_a_new_home.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-33,mock9.html,33,flashcard,礼拜天,lǐbàitiān,الأحد,m9-fc-33-礼拜天.webp,assets/card-images/m9-fc-33-礼拜天.webp,sunny_family_picnic_by_the_lake.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-34,mock9.html,34,flashcard,周日,zhōurì,الأحد,m9-fc-34-周日.webp,assets/card-images/m9-fc-34-周日.webp,cozy_brunch_in_a_sunlit_apartment.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-35,mock9.html,35,flashcard,邀请,yāoqǐng,يدعو,m9-fc-35-邀请.webp,assets/card-images/m9-fc-35-邀请.webp,inviting_warmth_at_the_doorstep.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-37,mock9.html,37,flashcard,吸引,xīyǐn,يجذب,m9-fc-37-吸引.webp,assets/card-images/m9-fc-37-吸引.webp,magnetic_allure_of_a_sparkling_pendant.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-39,mock9.html,39,flashcard,服务区,fúwùqū,محطة خدمات,m9-fc-39-服务区.webp,assets/card-images/m9-fc-39-服务区.webp,sunny_roadside_rest_area_with_mountains.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-40,mock9.html,40,flashcard,马虎,mǎhu,مهمل,m9-fc-40-马虎.webp,assets/card-images/m9-fc-40-马虎.webp,spilled_coffee_in_the_study_chaos.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-41,mock9.html,41,flashcard,仔细,zǐxì,دقيق,m9-fc-41-仔细.webp,assets/card-images/m9-fc-41-仔细.webp,focused_on_the_details_of_timepieces.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-42,mock9.html,42,flashcard,错误,cuòwù,خطأ,m9-fc-42-错误.webp,assets/card-images/m9-fc-42-错误.webp,mug_shattered_on_a_sunlit_floor.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-43,mock9.html,43,flashcard,酸,suān,حامض,m9-fc-43-酸.webp,assets/card-images/m9-fc-43-酸.webp,fresh_lemonade_and_vibrant_lemons_setup.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-44,mock9.html,44,flashcard,甜,tián,حلو,m9-fc-44-甜.webp,assets/card-images/m9-fc-44-甜.webp,strawberry_shortcake_slice_on_cozy_table.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-46,mock9.html,46,flashcard,咖啡,kāfēi,قهوة,m9-fc-46-咖啡.webp,assets/card-images/m9-fc-46-咖啡.webp,cozy_morning_coffee_on_wooden_table.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-47,mock9.html,47,flashcard,杂志,zázhì,مجلة,m9-fc-47-杂志.webp,assets/card-images/m9-fc-47-杂志.webp,cozy_reading_nook_with_magazines_and_greenery.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-48,mock9.html,48,flashcard,爷爷,yéye,جد,m9-fc-48-爷爷.webp,assets/card-images/m9-fc-48-爷爷.webp,cozy_moment_in_a_warm_living_room.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-49,mock9.html,49,flashcard,孙子,sūnzi,حفيد,m9-fc-49-孙子.webp,assets/card-images/m9-fc-49-孙子.webp,building_memories_with_grandpa.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-50,mock9.html,50,flashcard,打印,dǎyìn,يطبع,m9-fc-50-打印.webp,assets/card-images/m9-fc-50-打印.webp,modern_office_with_printer_and_printout.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-52,mock9.html,52,flashcard,报名,bàomíng,يسجل,m9-fc-52-报名.webp,assets/card-images/m9-fc-52-报名.webp,filling_out_paperwork_in_a_modern_office.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-53,mock9.html,53,flashcard,规定,guīdìng,قاعدة,m9-fc-53-规定.webp,assets/card-images/m9-fc-53-规定.webp,public_rules_and_guidelines_signage.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
M9-FC-54,mock9.html,54,flashcard,解释,jiěshì,يفسّر,m9-fc-54-解释.webp,assets/card-images/m9-fc-54-解释.webp,cozy_study_session_by_lamp_light.png,integrated_generated_image,تمت مراجعتها كصورة مستقلة؛ ليست شبكة أو ملصقاً تعليمياً.
