global_id,source,source_card_no,type,term,pinyin,arabic,suggested_filename,integrated_path,audit_note_ar
M6-FC-35,mock6.html,35,flashcard,鼓励,gǔlì,يشجّع,m6-fc-35-鼓励.webp,assets/card-images/m6-fc-35-鼓励.webp,مطابقة جيدة: تشجيع.
M6-FC-36,mock6.html,36,flashcard,尊重,zūnzhòng,يحترم,m6-fc-36-尊重.webp,assets/card-images/m6-fc-36-尊重.webp,مطابقة جيدة: احترام/مساعدة الكبير.
M6-FC-39,mock6.html,39,flashcard,护士,hùshi,ممرضة,m6-fc-39-护士.webp,assets/card-images/m6-fc-39-护士.webp,مطابقة جيدة: ممرضة.
M6-FC-45,mock6.html,45,flashcard,减肥,jiǎnféi,إنقاص الوزن,m6-fc-45-减肥.webp,assets/card-images/m6-fc-45-减肥.webp,مطابقة جيدة: إنقاص الوزن/حمية.
M6-FC-47,mock6.html,47,flashcard,环境污染,huánjìng wūrǎn,تلوث البيئة,m6-fc-47-环境污染.webp,assets/card-images/m6-fc-47-环境污染.webp,مطابقة جيدة: تلوث البيئة.
M6-FC-50,mock6.html,50,flashcard,应聘者,yìngpìnzhě,المتقدّم للوظيفة,m6-fc-50-应聘者.webp,assets/card-images/m6-fc-50-应聘者.webp,مطابقة جيدة: متقدم للوظيفة.
M6-FC-54,mock6.html,54,flashcard,压力,yālì,ضغط (نفسي),m6-fc-54-压力.webp,assets/card-images/m6-fc-54-压力.webp,مطابقة جيدة: ضغط نفسي.
M6-WR-098,mock6.html,98,writing_image,商量,,يتشاور / يناقش,m6-wr-098-商量.webp,assets/card-images/m6-wr-098-商量.webp,مطابقة جيدة: يتشاور.
M6-WR-100,mock6.html,100,writing_image,苦,,مرّ,m6-wr-100-苦.webp,assets/card-images/m6-wr-100-苦.webp,مطابقة جيدة: مر.
M9-FC-01,mock9.html,1,flashcard,打针,dǎzhēn,حقنة,m9-fc-01-打针.webp,assets/card-images/m9-fc-01-打针.webp,مطابقة جيدة: حقنة.
M9-FC-02,mock9.html,2,flashcard,演出,yǎnchū,عرض,m9-fc-02-演出.webp,assets/card-images/m9-fc-02-演出.webp,مطابقة جيدة: عرض.
M9-FC-03,mock9.html,3,flashcard,行李箱,xínglǐxiāng,حقيبة سفر,m9-fc-03-行李箱.webp,assets/card-images/m9-fc-03-行李箱.webp,مطابقة جيدة: حقيبة سفر.
M9-FC-04,mock9.html,4,flashcard,葡萄,pútáo,عنب,m9-fc-04-葡萄.webp,assets/card-images/m9-fc-04-葡萄.webp,مطابقة جيدة: عنب.
M9-FC-05,mock9.html,5,flashcard,沙发,shāfā,أريكة,m9-fc-05-沙发.webp,assets/card-images/m9-fc-05-沙发.webp,مطابقة جيدة: أريكة.
M9-FC-06,mock9.html,6,flashcard,镜子,jìngzi,مرآة,m9-fc-06-镜子.webp,assets/card-images/m9-fc-06-镜子.webp,مطابقة جيدة: مرآة.
M9-FC-07,mock9.html,7,flashcard,护士,hùshi,ممرضة,m9-fc-07-护士.webp,assets/card-images/m9-fc-07-护士.webp,مطابقة جيدة: ممرضة.
M9-FC-08,mock9.html,8,flashcard,包子,bāozi,باوزي,m9-fc-08-包子.webp,assets/card-images/m9-fc-08-包子.webp,مطابقة جيدة: باوزي.
M9-FC-09,mock9.html,9,flashcard,购物车,gòuwùchē,عربة تسوق,m9-fc-09-购物车.webp,assets/card-images/m9-fc-09-购物车.webp,مطابقة جيدة: عربة تسوق.
M9-FC-10,mock9.html,10,flashcard,飞机,fēijī,طائرة,m9-fc-10-飞机.webp,assets/card-images/m9-fc-10-飞机.webp,مطابقة جيدة: طائرة.
M9-FC-11,mock9.html,11,flashcard,翻译,fānyì,يترجم,m9-fc-11-翻译.webp,assets/card-images/m9-fc-11-翻译.webp,مطابقة جيدة: ترجمة.
M9-FC-12,mock9.html,12,flashcard,减肥,jiǎnféi,حمية,m9-fc-12-减肥.webp,assets/card-images/m9-fc-12-减肥.webp,مطابقة جيدة: حمية.
M9-FC-13,mock9.html,13,flashcard,调查,diàochá,تحقيق,m9-fc-13-调查.webp,assets/card-images/m9-fc-13-调查.webp,مطابقة جيدة: تحقيق.
M9-FC-14,mock9.html,14,flashcard,窗户,chuānghu,نافذة,m9-fc-14-窗户.webp,assets/card-images/m9-fc-14-窗户.webp,مطابقة جيدة: نافذة.
M9-FC-15,mock9.html,15,flashcard,奖学金,jiǎngxuéjīn,منحة,m9-fc-15-奖学金.webp,assets/card-images/m9-fc-15-奖学金.webp,مطابقة جيدة: منحة/تكريم.
M9-FC-16,mock9.html,16,flashcard,互联网,hùliánwǎng,إنترنت,m9-fc-16-互联网.webp,assets/card-images/m9-fc-16-互联网.webp,مطابقة جيدة: إنترنت.
M9-FC-17,mock9.html,17,flashcard,博士,bóshì,دكتوراه,m9-fc-17-博士.webp,assets/card-images/m9-fc-17-博士.webp,مطابقة جيدة: دكتوراه/تخرج.
M9-FC-18,mock9.html,18,flashcard,感冒,gǎnmào,زكام,m9-fc-18-感冒.webp,assets/card-images/m9-fc-18-感冒.webp,مطابقة جيدة: زكام.
M9-FC-20,mock9.html,20,flashcard,污染,wūrǎn,تلوث,m9-fc-20-污染.webp,assets/card-images/m9-fc-20-污染.webp,مطابقة جيدة: تلوث.
M9-FC-21,mock9.html,21,flashcard,功夫,gōngfū,كونغ فو,m9-fc-21-功夫.webp,assets/card-images/m9-fc-21-功夫.webp,مطابقة جيدة: كونغ فو.
M9-FC-22,mock9.html,22,flashcard,地址,dìzhǐ,عنوان,m9-fc-22-地址.webp,assets/card-images/m9-fc-22-地址.webp,مطابقة جيدة: عنوان.
M9-FC-23,mock9.html,23,flashcard,环境,huánjìng,بيئة,m9-fc-23-环境.webp,assets/card-images/m9-fc-23-环境.webp,مطابقة جيدة: بيئة.
M9-FC-24,mock9.html,24,flashcard,愉快,yúkuài,سعيد,m9-fc-24-愉快.webp,assets/card-images/m9-fc-24-愉快.webp,مطابقة جيدة: سعيد/مرح.
M9-FC-25,mock9.html,25,flashcard,压力,yālì,ضغط,m9-fc-25-压力.webp,assets/card-images/m9-fc-25-压力.webp,مطابقة جيدة: ضغط.
M9-FC-26,mock9.html,26,flashcard,幽默,yōumò,فكاهي,m9-fc-26-幽默.webp,assets/card-images/m9-fc-26-幽默.webp,مطابقة جيدة: فكاهي.
M9-FC-27,mock9.html,27,flashcard,紧张,jǐnzhāng,متوتر,m9-fc-27-紧张.webp,assets/card-images/m9-fc-27-紧张.webp,مطابقة جيدة: متوتر.
M9-FC-29,mock9.html,29,flashcard,乒乓球,pīngpāngqiú,كرة طاولة,m9-fc-29-乒乓球.webp,assets/card-images/m9-fc-29-乒乓球.webp,مطابقة جيدة: كرة طاولة.
M9-FC-30,mock9.html,30,flashcard,足球,zúqiú,كرة قدم,m9-fc-30-足球.webp,assets/card-images/m9-fc-30-足球.webp,مطابقة جيدة: كرة قدم.
M9-FC-36,mock9.html,36,flashcard,提供,tígōng,يقدّم,m9-fc-36-提供.webp,assets/card-images/m9-fc-36-提供.webp,مطابقة جيدة: يقدم/يوفر شيئاً.
M9-FC-38,mock9.html,38,flashcard,应聘,yìngpìn,يتقدم لوظيفة,m9-fc-38-应聘.webp,assets/card-images/m9-fc-38-应聘.webp,مطابقة جيدة: يتقدم لوظيفة.
M9-FC-45,mock9.html,45,flashcard,苦,kǔ,مر,m9-fc-45-苦.webp,assets/card-images/m9-fc-45-苦.webp,مطابقة جيدة: مر.
M9-FC-51,mock9.html,51,flashcard,毕业,bìyè,يتخرج,m9-fc-51-毕业.webp,assets/card-images/m9-fc-51-毕业.webp,مطابقة جيدة: يتخرج.
