global_id,source,source_card_no,type,term,pinyin,arabic,is_duplicate_term,duplicate_group,current_src,suggested_filename,visual_concept_ar,image_prompt_en,status
M6-FC-11,mock6.html,11,flashcard,吃惊,chījīng,يندهش,no,,inline SVG/card design,m6-fc-11-吃惊.webp,شخص يتلقى خبراً مفاجئاً على الهاتف وعلامات تعجب حوله.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 吃惊 (chījīng) meaning in Arabic: يندهش. Visual concept: شخص يتلقى خبراً مفاجئاً على الهاتف وعلامات تعجب حوله.",pending_generation_or_review
M6-FC-12,mock6.html,12,flashcard,感动,gǎndòng,متأثّر عاطفياً,no,,inline SVG/card design,m6-fc-12-感动.webp,طفل يقدم بطاقة وورد لأمه المتأثرة؛ مشاعر تحرك القلب.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 感动 (gǎndòng) meaning in Arabic: متأثّر عاطفياً. Visual concept: طفل يقدم بطاقة وورد لأمه المتأثرة؛ مشاعر تحرك القلب.",pending_generation_or_review
M6-FC-13,mock6.html,13,flashcard,坚持,jiānchí,يثابر,no,,inline SVG/card design,m6-fc-13-坚持.webp,متسلق يواصل صعود الجبل رغم التعب، علم صغير في القمة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 坚持 (jiānchí) meaning in Arabic: يثابر. Visual concept: متسلق يواصل صعود الجبل رغم التعب، علم صغير في القمة.",pending_generation_or_review
M6-FC-14,mock6.html,14,flashcard,勇敢,yǒnggǎn,شجاع,no,,inline SVG/card design,m6-fc-14-勇敢.webp,مسافر يعبر جسراً جبلياً عالياً بشجاعة وثقة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 勇敢 (yǒnggǎn) meaning in Arabic: شجاع. Visual concept: مسافر يعبر جسراً جبلياً عالياً بشجاعة وثقة.",pending_generation_or_review
M6-FC-15,mock6.html,15,flashcard,微信,Wēixìn,WeChat,no,,inline SVG/card design,m6-fc-15-微信.webp,هاتف يعرض فقاعات محادثة خضراء وأصدقاء يتواصلون بصوت ورسائل.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 微信 (Wēixìn) meaning in Arabic: WeChat. Visual concept: هاتف يعرض فقاعات محادثة خضراء وأصدقاء يتواصلون بصوت ورسائل.",pending_generation_or_review
M6-FC-16,mock6.html,16,flashcard,互联网,hùliánwǎng,الإنترنت,yes,M6-FC-16 | M9-FC-16,inline SVG/card design,m6-fc-16-互联网.webp,كرة أرضية مضيئة تربط أجهزة متعددة حولها بخطوط شبكية.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 互联网 (hùliánwǎng) meaning in Arabic: الإنترنت. Visual concept: كرة أرضية مضيئة تربط أجهزة متعددة حولها بخطوط شبكية.",pending_generation_or_review
M6-FC-17,mock6.html,17,flashcard,联系,liánxì,يتواصل,no,,inline SVG/card design,m6-fc-17-联系.webp,شخصان يتواصلان عبر هاتفين وقلب/خط مضيء يربط بينهما.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 联系 (liánxì) meaning in Arabic: يتواصل. Visual concept: شخصان يتواصلان عبر هاتفين وقلب/خط مضيء يربط بينهما.",pending_generation_or_review
M6-FC-18,mock6.html,18,flashcard,推迟,tuīchí,يؤجّل,no,,inline SVG/card design,m6-fc-18-推迟.webp,تقويم وملاحظة حدث تُدفع بسهم إلى يوم لاحق؛ تأجيل واضح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 推迟 (tuīchí) meaning in Arabic: يؤجّل. Visual concept: تقويم وملاحظة حدث تُدفع بسهم إلى يوم لاحق؛ تأجيل واضح.",pending_generation_or_review
M6-FC-19,mock6.html,19,flashcard,行李,xíngli,حقائب السفر,no,,inline SVG/card design,m6-fc-19-行李.webp,حقيبة سفر مرتبة أمام باب أو في محطة، جاهزة للانطلاق.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 行李 (xíngli) meaning in Arabic: حقائب السفر. Visual concept: حقيبة سفر مرتبة أمام باب أو في محطة، جاهزة للانطلاق.",pending_generation_or_review
M6-FC-20,mock6.html,20,flashcard,终于,zhōngyú,أخيراً,no,,inline SVG/card design,m6-fc-20-终于.webp,عائلة تستقبل مسافراً عند الباب بعد انتظار طويل؛ لحظة أخيراً.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 终于 (zhōngyú) meaning in Arabic: أخيراً. Visual concept: عائلة تستقبل مسافراً عند الباب بعد انتظار طويل؛ لحظة أخيراً.",pending_generation_or_review
M6-FC-21,mock6.html,21,flashcard,商量,shāngliang,يتشاور,yes,M6-FC-21 | M6-WR-098,inline SVG/card design,m6-fc-21-商量.webp,أربعة أشخاص حول طاولة يناقشون خطة بأوراق وملاحظات ملونة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 商量 (shāngliang) meaning in Arabic: يتشاور. Visual concept: أربعة أشخاص حول طاولة يناقشون خطة بأوراق وملاحظات ملونة.",pending_generation_or_review
M6-FC-22,mock6.html,22,flashcard,健康,jiànkāng,صحة,no,,inline SVG/card design,m6-fc-22-健康.webp,اختيارات صحية: سلطة، فواكه، ماء، ميزان ورياضة في إضاءة صباحية.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 健康 (jiànkāng) meaning in Arabic: صحة. Visual concept: اختيارات صحية: سلطة، فواكه، ماء، ميزان ورياضة في إضاءة صباحية.",pending_generation_or_review
M6-FC-23,mock6.html,23,flashcard,医院,yīyuàn,مستشفى,no,,inline SVG/card design,m6-fc-23-医院.webp,واجهة مستشفى نظيفة أو ممرضة في عيادة مضيئة؛ رمز الطب واضح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 医院 (yīyuàn) meaning in Arabic: مستشفى. Visual concept: واجهة مستشفى نظيفة أو ممرضة في عيادة مضيئة؛ رمز الطب واضح.",pending_generation_or_review
M6-FC-24,mock6.html,24,flashcard,面试,miànshì,مقابلة عمل,no,,inline SVG/card design,m6-fc-24-面试.webp,مقابلة عمل وجهاً لوجه، مرشح أمام مدير ومعه سيرة ذاتية.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 面试 (miànshì) meaning in Arabic: مقابلة عمل. Visual concept: مقابلة عمل وجهاً لوجه، مرشح أمام مدير ومعه سيرة ذاتية.",pending_generation_or_review
M6-FC-25,mock6.html,25,flashcard,成功,chénggōng,نجاح,no,,inline SVG/card design,m6-fc-25-成功.webp,شخص يقف على قمة جبل/منصة مع كأس أو علم؛ نجاح بعد مجهود.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 成功 (chénggōng) meaning in Arabic: نجاح. Visual concept: شخص يقف على قمة جبل/منصة مع كأس أو علم؛ نجاح بعد مجهود.",pending_generation_or_review
M6-FC-26,mock6.html,26,flashcard,留学,liúxué,الدراسة بالخارج,no,,inline SVG/card design,m6-fc-26-留学.webp,طالبة تحمل حقيبة أمام حرم جامعي دولي وأعلام متعددة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 留学 (liúxué) meaning in Arabic: الدراسة بالخارج. Visual concept: طالبة تحمل حقيبة أمام حرم جامعي دولي وأعلام متعددة.",pending_generation_or_review
M6-FC-27,mock6.html,27,flashcard,签证,qiānzhèng,تأشيرة,no,,inline SVG/card design,m6-fc-27-签证.webp,جواز سفر مع ختم تأشيرة وموظف يراجع الأوراق.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 签证 (qiānzhèng) meaning in Arabic: تأشيرة. Visual concept: جواز سفر مع ختم تأشيرة وموظف يراجع الأوراق.",pending_generation_or_review
M6-FC-28,mock6.html,28,flashcard,堵车,dǔchē,زحام مروري,no,,inline SVG/card design,m6-fc-28-堵车.webp,طابور سيارات طويل وقت الغروب وشخص منزعج داخل السيارة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 堵车 (dǔchē) meaning in Arabic: زحام مروري. Visual concept: طابور سيارات طويل وقت الغروب وشخص منزعج داخل السيارة.",pending_generation_or_review
M6-FC-29,mock6.html,29,flashcard,毕业,bìyè,يتخرّج,yes,M6-FC-29 | M9-FC-51,inline SVG/card design,m6-fc-29-毕业.webp,طالب بزي تخرج يحمل شهادة في مكتبة جامعية دافئة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 毕业 (bìyè) meaning in Arabic: يتخرّج. Visual concept: طالب بزي تخرج يحمل شهادة في مكتبة جامعية دافئة.",pending_generation_or_review
M6-FC-30,mock6.html,30,flashcard,知识,zhīshi,معرفة,no,,inline SVG/card design,m6-fc-30-知识.webp,كتاب مفتوح ومصباح فكرة يضيء فوقه؛ معرفة عميقة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 知识 (zhīshi) meaning in Arabic: معرفة. Visual concept: كتاب مفتوح ومصباح فكرة يضيء فوقه؛ معرفة عميقة.",pending_generation_or_review
M6-FC-31,mock6.html,31,flashcard,考试,kǎoshì,امتحان,no,,inline SVG/card design,m6-fc-31-考试.webp,طالب قلق أمام ورقة اختبار وساعة، تركيز واضح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 考试 (kǎoshì) meaning in Arabic: امتحان. Visual concept: طالب قلق أمام ورقة اختبار وساعة، تركيز واضح.",pending_generation_or_review
M6-FC-32,mock6.html,32,flashcard,了解,liǎojiě,يفهم بعمق,no,,inline SVG/card design,m6-fc-32-了解.webp,مصباح يضيء فوق خريطة/كتاب بينما الطالب يفهم الفكرة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 了解 (liǎojiě) meaning in Arabic: يفهم بعمق. Visual concept: مصباح يضيء فوق خريطة/كتاب بينما الطالب يفهم الفكرة.",pending_generation_or_review
M6-FC-33,mock6.html,33,flashcard,礼物,lǐwù,هدية,no,,inline SVG/card design,m6-fc-33-礼物.webp,هدية حمراء بشريط ذهبي يقدمها شخص لشخص سعيد.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 礼物 (lǐwù) meaning in Arabic: هدية. Visual concept: هدية حمراء بشريط ذهبي يقدمها شخص لشخص سعيد.",pending_generation_or_review
M6-FC-34,mock6.html,34,flashcard,家人,jiārén,أفراد العائلة,no,,inline SVG/card design,m6-fc-34-家人.webp,عائلة تعانق المسافر عند الباب؛ دفء البيت وأهل البيت.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 家人 (jiārén) meaning in Arabic: أفراد العائلة. Visual concept: عائلة تعانق المسافر عند الباب؛ دفء البيت وأهل البيت.",pending_generation_or_review
M6-FC-35,mock6.html,35,flashcard,鼓励,gǔlì,يشجّع,no,,inline SVG/card design,m6-fc-35-鼓励.webp,أم تشجع طفلها قبل امتحان أو منافسة، إشارة دعم وابتسامة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 鼓励 (gǔlì) meaning in Arabic: يشجّع. Visual concept: أم تشجع طفلها قبل امتحان أو منافسة، إشارة دعم وابتسامة.",pending_generation_or_review
M6-FC-36,mock6.html,36,flashcard,尊重,zūnzhòng,يحترم,no,,inline SVG/card design,m6-fc-36-尊重.webp,شخصان ينحنيان باحترام أو يصافحان بلطف في مشهد رسمي.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 尊重 (zūnzhòng) meaning in Arabic: يحترم. Visual concept: شخصان ينحنيان باحترام أو يصافحان بلطف في مشهد رسمي.",pending_generation_or_review
M6-FC-37,mock6.html,37,flashcard,已经,yǐjīng,بالفعل / من قبل,no,,inline SVG/card design,m6-fc-37-已经.webp,تقويم وعلامة إنجاز كبيرة على مهمة تمت بالفعل.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 已经 (yǐjīng) meaning in Arabic: بالفعل / من قبل. Visual concept: تقويم وعلامة إنجاز كبيرة على مهمة تمت بالفعل.",pending_generation_or_review
M6-FC-38,mock6.html,38,flashcard,本来,běnlái,أصلاً / في الأصل,no,,inline SVG/card design,m6-fc-38-本来.webp,خطة أصلية على ورقة ثم سهم يوضح التغيير عن الأصل.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 本来 (běnlái) meaning in Arabic: أصلاً / في الأصل. Visual concept: خطة أصلية على ورقة ثم سهم يوضح التغيير عن الأصل.",pending_generation_or_review
M6-FC-39,mock6.html,39,flashcard,护士,hùshi,ممرضة,yes,M6-FC-39 | M9-FC-07,inline SVG/card design,m6-fc-39-护士.webp,ممرضة تحمل ملفاً في عيادة نظيفة بابتسامة مطمئنة.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 护士 (hùshi) meaning in Arabic: ممرضة. Visual concept: ممرضة تحمل ملفاً في عيادة نظيفة بابتسامة مطمئنة.",pending_generation_or_review
M6-FC-40,mock6.html,40,flashcard,水果,shuǐguǒ,فاكهة,no,,inline SVG/card design,m6-fc-40-水果.webp,طبق فواكه طازجة مليئة بالماء واللون: تفاح وعنب وبرتقال.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 水果 (shuǐguǒ) meaning in Arabic: فاكهة. Visual concept: طبق فواكه طازجة مليئة بالماء واللون: تفاح وعنب وبرتقال.",pending_generation_or_review
M6-FC-41,mock6.html,41,flashcard,一直,yīzhí,دائماً / باستمرار,no,,inline SVG/card design,m6-fc-41-一直.webp,طريق مستقيم طويل يمتد للأفق مع سهم استمرار بلا توقف.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 一直 (yīzhí) meaning in Arabic: دائماً / باستمرار. Visual concept: طريق مستقيم طويل يمتد للأفق مع سهم استمرار بلا توقف.",pending_generation_or_review
M6-FC-42,mock6.html,42,flashcard,流行,liúxíng,شائع / دارج,no,,inline SVG/card design,m6-fc-42-流行.webp,شيء ينتشر بين الناس كضوء ينتقل من هاتف إلى آخر؛ رائج.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 流行 (liúxíng) meaning in Arabic: شائع / دارج. Visual concept: شيء ينتشر بين الناس كضوء ينتقل من هاتف إلى آخر؛ رائج.",pending_generation_or_review
M6-FC-43,mock6.html,43,flashcard,浪费,làngfèi,يهدر / إسراف,no,,inline SVG/card design,m6-fc-43-浪费.webp,مال/ماء يتسرب بلا فائدة من دلو أو صنبور؛ إسراف واضح.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 浪费 (làngfèi) meaning in Arabic: يهدر / إسراف. Visual concept: مال/ماء يتسرب بلا فائدة من دلو أو صنبور؛ إسراف واضح.",pending_generation_or_review
M6-FC-44,mock6.html,44,flashcard,性格,xìnggé,شخصية / طبع,no,,inline SVG/card design,m6-fc-44-性格.webp,أقنعة/شخصيات مختلفة حول شخص واحد؛ اختلاف الطباع.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 性格 (xìnggé) meaning in Arabic: شخصية / طبع. Visual concept: أقنعة/شخصيات مختلفة حول شخص واحد؛ اختلاف الطباع.",pending_generation_or_review
M6-FC-45,mock6.html,45,flashcard,减肥,jiǎnféi,إنقاص الوزن,yes,M6-FC-45 | M9-FC-12,inline SVG/card design,m6-fc-45-减肥.webp,اختيار بين كعكة وسلطة مع ميزان وشريط قياس؛ إنقاص وزن.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 减肥 (jiǎnféi) meaning in Arabic: إنقاص الوزن. Visual concept: اختيار بين كعكة وسلطة مع ميزان وشريط قياس؛ إنقاص وزن.",pending_generation_or_review
M6-FC-46,mock6.html,46,flashcard,节约,jiéyuē,يوفّر / اقتصادي,no,,inline SVG/card design,m6-fc-46-节约.webp,حصالة ووقت محفوظ وسلة شراء ذكية؛ توفير المال والوقت.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 节约 (jiéyuē) meaning in Arabic: يوفّر / اقتصادي. Visual concept: حصالة ووقت محفوظ وسلة شراء ذكية؛ توفير المال والوقت.",pending_generation_or_review
M6-FC-47,mock6.html,47,flashcard,环境污染,huánjìng wūrǎn,تلوث البيئة,no,,inline SVG/card design,m6-fc-47-环境污染.webp,نهر ملوث قرب مصانع ودخان مقابل شجرة حزينة؛ تلوث بيئي.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 环境污染 (huánjìng wūrǎn) meaning in Arabic: تلوث البيئة. Visual concept: نهر ملوث قرب مصانع ودخان مقابل شجرة حزينة؛ تلوث بيئي.",pending_generation_or_review
M6-FC-48,mock6.html,48,flashcard,经济,jīngjì,اقتصاد,no,,inline SVG/card design,m6-fc-48-经济.webp,رسم بياني اقتصادي وعملات ومدينة أعمال؛ الاقتصاد العالمي.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 经济 (jīngjì) meaning in Arabic: اقتصاد. Visual concept: رسم بياني اقتصادي وعملات ومدينة أعمال؛ الاقتصاد العالمي.",pending_generation_or_review
M6-FC-49,mock6.html,49,flashcard,信心,xìnxīn,ثقة بالنفس,no,,inline SVG/card design,m6-fc-49-信心.webp,شخص يضع يده على قلبه أمام مرآة بثقة وضوء داخلي.,"Square 1024x1024 high-quality educational flashcard illustration, warm cinematic stylized 3D CGI, soft lighting, clean composition, memorable mental-image scene, no text, no letters, no watermark. Target Chinese vocabulary: 信心 (xìnxīn) meaning in Arabic: ثقة بالنفس. Visual concept: شخص يضع يده على قلبه أمام مرآة بثقة وضوء داخلي.",pending_generation_or_review
